Port,"Charleston, SC","Houston, TX","Long Beach, CA","Los Angeles, CA","NWSA (Seattle & Tacoma, WA)","Oakland, CA",Port of NY & NJ,"Port of Virginia, VA","Savannah, GA"
1/1/2019,205689,214952,657286,852450,326228,212493,622531,240111,430079
2/1/2019,178131,198494,596617,705307,269233,185685,585216,228151,312042
3/1/2019,214113,280721,552821,650977,336828,213972,585098,240035,410326
4/1/2019,204621,252693,628122,736466,323948,216003,605263,245933,364481
5/1/2019,204457,263061,573623,828662,315792,223095,643706,260894,373394
6/1/2019,200406,251488,677167,764777,343221,203730,611027,239329,361906
7/1/2019,210542,259993,621780,912154,326515,218191,662994,265559,387024
8/1/2019,233110,259110,663992,861081,320564,224535,679585,257675,437746
9/1/2019,194948,251524,706955,779903,347278,206539,624961,241416,369999
10/1/2019,217360,258571,688425,770189,310066,204880,666381,266976,428382
11/1/2019,184928,245738,599985,728918,271178,197343,599626,226982,362964
12/2/2019,187882,250946,665261,746750,284452,193963,584743,224902,360835
1/1/2020,211020,268773,626829,806144,263816,211250,617024,227234,377671
2/1/2020,197214,255474,538428,544037,260932,180226,579124,207816,364405
3/1/2020,185631,248840,517663,449568,264133,190189,560830,219315,335789
4/1/2020,176152,221540,519730,688999,247675,201918,559929,207244,337890
5/1/2020,169705,222250,628205,581665,240671,185595,537412,201837,337359
6/1/2020,156494,210932,602180,691475,287036,199011,511306,210669,338287
7/1/2020,176974,234737,753081,856389,270388,219082,607463,221028,360697
8/1/2020,208837,248630,725610,961833,276407,225489,688365,247349,441596
9/1/2020,195101,254405,795580,883625,308682,225809,720969,256439,412138
10/1/2020,216196,296210,806603,980729,296892,216685,755437,274215,464095
11/1/2020,207066,262930,783523,889748,301932,197692,738885,279868,464805
12/1/2020,209606,264626,815885,879186,301814,208340,709075,260401,447525
1/1/2021,216265,255039,764006,835516,288289,199098,721284,270969,459607
2/1/2021,182269,198763,771735,799315,227643,190553,625120,248526,390804
3/1/2021,248796,297397,840387,957599,330175,241470,789776,279514,498065
4/1/2021,225136,275840,746188,946966,301074,221838,712799,286405,466635
5/1/2021,230871,288127,907216,1012048,333026,226406,796693,314942,478621
6/1/2021,231758,292587,724297,876430,344280,222483,749400,281346,446815
7/1/2021,244821,297621,784845,890800,307592,211396,758810,293126,449916
8/1/2021,234688,320086,807704,954377,305071,220052,780782,307023,485595
9/1/2021,205008,281500,748472,903865,330517,182935,724418,306216,472062
10/1/2021,234923,328486,789716,902644,313430,173310,796704,318482,504347
11/1/2021,250711,314576,745488,811460,325604,189111,759390,290759,495749
12/1/2021,246198,303204,754314,786589,254102,169661,770753,325527,464951
1/1/2022,226515,323427,800943,865595,272281,193205,765050,262020,476713
2/1/2022,230420,271399,796560,857764,298046,194388,759248,296201,460413
3/1/2022,264334,308557,863156,958674,330906,214459,862117,314698,444690
4/1/2022,264099,334493,820718,887357,266635,188495,802963,323244,495782
5/1/2022,255104,335366,890989,967900,329740,224299,845305,341611,519388
6/1/2022,196225,323823,835412,876611,309123,215952,859953,316250,494107
7/1/2022,216097,328498,785843,935424,260572,160356,776167,317691,530800
8/1/2022,223411,382842,806940,805315,280436,211123,843191,340926,575513
9/1/2022,226807,353524,741823,709873,285315,184729,842219,312230,436279
10/1/2022,256879,371994,658428,678429,272129,202487,792548,318452,552806
